Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Feminin, Neamt, Anul 2003, Mii persoane, 107
Feminin, Neamt, Anul 2004, Mii persoane, 104.7
Feminin, Neamt, Anul 2005, Mii persoane, 103
Feminin, Neamt, Anul 2006, Mii persoane, 100.6
Feminin, Neamt, Anul 2007, Mii persoane, 94.6
Feminin, Neamt, Anul 2008, Mii persoane, 93.9
Feminin, Neamt, Anul 2009, Mii persoane, 98.3
Feminin, Neamt, Anul 2010, Mii persoane, 98.5
Feminin, Neamt, Anul 2011, Mii persoane, 94.4
Feminin, Neamt, Anul 2012, Mii persoane, 97.3
Feminin, Neamt, Anul 2013, Mii persoane, 94.6
Feminin, Neamt, Anul 2014, Mii persoane, 90.6
Feminin, Neamt, Anul 2015, Mii persoane, 87.3
Feminin, Neamt, Anul 2016, Mii persoane, 79
Feminin, Neamt, Anul 2017, Mii persoane, 80.9
Feminin, Suceava, Anul 1990, Mii persoane, 161.8
Feminin, Suceava, Anul 1991, Mii persoane, 162.9
Feminin, Suceava, Anul 1992, Mii persoane, 167
Feminin, Suceava, Anul 1993, Mii persoane, 157.4
Feminin, Suceava, Anul 1994, Mii persoane, 172.7
Feminin, Suceava, Anul 1995, Mii persoane, 150.5
Feminin, Suceava, Anul 1996, Mii persoane, 154.9
Feminin, Suceava, Anul 1997, Mii persoane, 150.6
Feminin, Suceava, Anul 1998, Mii persoane, 151.6
Feminin, Suceava, Anul 1999, Mii persoane, 156.3
Feminin, Suceava, Anul 2000, Mii persoane, 151.1
Feminin, Suceava, Anul 2001, Mii persoane, 146.3
Feminin, Suceava, Anul 2002, Mii persoane, 137.8
Feminin, Suceava, Anul 2003, Mii persoane, 131.6
Feminin, Suceava, Anul 2004, Mii persoane, 124.1
Feminin, Suceava, Anul 2005, Mii persoane, 124.9
Feminin, Suceava, Anul 2006, Mii persoane, 120.4
Feminin, Suceava, Anul 2007, Mii persoane, 121.1
Feminin, Suceava, Anul 2008, Mii persoane, 120.7
Feminin, Suceava, Anul 2009, Mii persoane, 120.6
Feminin, Suceava, Anul 2010, Mii persoane, 118
Feminin, Suceava, Anul 2011, Mii persoane, 120.3
Feminin, Suceava, Anul 2012, Mii persoane, 121.9
Feminin, Suceava, Anul 2013, Mii persoane, 116.9
Feminin, Suceava, Anul 2014, Mii persoane, 115.2
Feminin, Suceava, Anul 2015, Mii persoane, 110
Feminin, Suceava, Anul 2016, Mii persoane, 104.3
Feminin, Suceava, Anul 2017, Mii persoane, 103.2
Feminin, Vaslui, Anul 1990, Mii persoane, 99.9
Feminin, Vaslui, Anul 1991, Mii persoane, 107.3
Feminin, Vaslui, Anul 1992, Mii persoane, 108.1
Feminin, Vaslui, Anul 1993, Mii persoane, 119.3
Feminin, Vaslui, Anul 1994, Mii persoane, 118
Feminin, Vaslui, Anul 1995, Mii persoane, 95.2
Feminin, Vaslui, Anul 1996, Mii persoane, 95.1
Feminin, Vaslui, Anul 1997, Mii persoane, 99.2
Feminin, Vaslui, Anul 1998, Mii persoane, 96.8
Feminin, Vaslui, Anul 1999, Mii persoane, 97.6
Feminin, Vaslui, Anul 2000, Mii persoane, 96.5
Feminin, Vaslui, Anul 2001, Mii persoane, 95.6
Feminin, Vaslui, Anul 2002, Mii persoane, 87.2
Feminin, Vaslui, Anul 2003, Mii persoane, 84.7
Feminin, Vaslui, Anul 2004, Mii persoane, 80.6
Feminin, Vaslui, Anul 2005, Mii persoane, 81.9
Feminin, Vaslui, Anul 2006, Mii persoane, 81
Feminin, Vaslui, Anul 2007, Mii persoane, 79.8
Feminin, Vaslui, Anul 2008, Mii persoane, 79.2
Feminin, Vaslui, Anul 2009, Mii persoane, 79.4
Feminin, Vaslui, Anul 2010, Mii persoane, 78.7
Feminin, Vaslui, Anul 2011, Mii persoane, 77.8
Feminin, Vaslui, Anul 2012, Mii persoane, 79.6
Feminin, Vaslui, Anul 2013, Mii persoane, 76.4
Feminin, Vaslui, Anul 2014, Mii persoane, 73.3
Feminin, Vaslui, Anul 2015, Mii persoane, 70.6
Feminin, Vaslui, Anul 2016, Mii persoane, 66.8
Feminin, Vaslui, Anul 2017, Mii persoane, 65.3
Feminin, Regiunea SUD-EST, Anul 1990, Mii persoane, 586.5
Feminin, Regiunea SUD-EST, Anul 1991, Mii persoane, 637.5
Feminin, Regiunea SUD-EST, Anul 1992, Mii persoane, 671.5
Feminin, Regiunea SUD-EST, Anul 1993, Mii persoane, 656.4
Feminin, Regiunea SUD-EST, Anul 1994, Mii persoane, 664.2
Feminin, Regiunea SUD-EST, Anul 1995, Mii persoane, 609.6
Feminin, Regiunea SUD-EST, Anul 1996, Mii persoane, 595.4
Feminin, Regiunea SUD-EST, Anul 1997, Mii persoane, 576
Feminin, Regiunea SUD-EST, Anul 1998, Mii persoane, 584.4
Feminin, Regiunea SUD-EST, Anul 1999, Mii persoane, 591.7
Feminin, Regiunea SUD-EST, Anul 2000, Mii persoane, 596.5
Feminin, Regiunea SUD-EST, Anul 2001, Mii persoane, 564.4
Feminin, Regiunea SUD-EST, Anul 2002, Mii persoane, 542.3
Feminin, Regiunea SUD-EST, Anul 2003, Mii persoane, 517.1
Feminin, Regiunea SUD-EST, Anul 2004, Mii persoane, 513.6
Feminin, Regiunea SUD-EST, Anul 2005, Mii persoane, 513.9
Feminin, Regiunea SUD-EST, Anul 2006, Mii persoane, 509.2
Feminin, Regiunea SUD-EST, Anul 2007, Mii persoane, 506.4
Feminin, Regiunea SUD-EST, Anul 2008, Mii persoane, 500.5
Feminin, Regiunea SUD-EST, Anul 2009, Mii persoane, 507.1
Feminin, Regiunea SUD-EST, Anul 2010, Mii persoane, 499.8
Feminin, Regiunea SUD-EST, Anul 2011, Mii persoane, 489.5
Feminin, Regiunea SUD-EST, Anul 2012, Mii persoane, 506.4
Feminin, Regiunea SUD-EST, Anul 2013, Mii persoane, 496.9
Feminin, Regiunea SUD-EST, Anul 2014, Mii persoane, 490.5
Feminin, Regiunea SUD-EST, Anul 2015, Mii persoane, 465.3
Feminin, Regiunea SUD-EST, Anul 2016, Mii persoane, 447.3
Feminin, Regiunea SUD-EST, Anul 2017, Mii persoane, 450.8
Feminin, Braila, Anul 1990, Mii persoane, 77.4
Feminin, Braila, Anul 1991, Mii persoane, 85.9
Feminin, Braila, Anul 1992, Mii persoane, 91.6
Feminin, Braila, Anul 1993, Mii persoane, 81.5
Feminin, Braila, Anul 1994, Mii persoane, 83.9
Feminin, Braila, Anul 1995, Mii persoane, 78.4
Feminin, Braila, Anul 1996, Mii persoane, 74.1
Feminin, Braila, Anul 1997, Mii persoane, 70.4
Feminin, Braila, Anul 1998, Mii persoane, 76.3
Feminin, Braila, Anul 1999, Mii persoane, 74.9
Feminin, Braila, Anul 2000, Mii persoane, 89.8
Feminin, Braila, Anul 2001, Mii persoane, 72
Feminin, Braila, Anul 2002, Mii persoane, 69.6
Feminin, Braila, Anul 2003, Mii persoane, 66.9
Feminin, Braila, Anul 2004, Mii persoane, 64.1
Feminin, Braila, Anul 2005, Mii persoane, 66.7
Feminin, Braila, Anul 2006, Mii persoane, 65.8
Feminin, Braila, Anul 2007, Mii persoane, 65.7
Feminin, Braila, Anul 2008, Mii persoane, 63.3
Feminin, Braila, Anul 2009, Mii persoane, 64.6
Feminin, Braila, Anul 2010, Mii persoane, 61.6
Feminin, Braila, Anul 2011, Mii persoane, 60.9
Feminin, Braila, Anul 2012, Mii persoane, 61
Feminin, Braila, Anul 2013, Mii persoane, 61
Feminin, Braila, Anul 2014, Mii persoane, 59
Feminin, Braila, Anul 2015, Mii persoane, 57
Feminin, Braila, Anul 2016, Mii persoane, 55.1
Feminin, Braila, Anul 2017, Mii persoane, 56.4
Feminin, Buzau, Anul 1990, Mii persoane, 108
Feminin, Buzau, Anul 1991, Mii persoane, 119.8
Feminin, Buzau, Anul 1992, Mii persoane, 126.7
Feminin, Buzau, Anul 1993, Mii persoane, 125.7
Feminin, Buzau, Anul 1994, Mii persoane, 119.3
Feminin, Buzau, Anul 1995, Mii persoane, 103.7
Feminin, Buzau, Anul 1996, Mii persoane, 107
Feminin, Buzau, Anul 1997, Mii persoane, 104.6
Feminin, Buzau, Anul 1998, Mii persoane, 102.3
Feminin, Buzau, Anul 1999, Mii persoane, 105.3
Feminin, Buzau, Anul 2000, Mii persoane, 104.7
Feminin, Buzau, Anul 2001, Mii persoane, 105.2
Feminin, Buzau, Anul 2002, Mii persoane, 96.2
Feminin, Buzau, Anul 2003, Mii persoane, 94.8
Feminin, Buzau, Anul 2004, Mii persoane, 94
Feminin, Buzau, Anul 2005, Mii persoane, 93.7
Feminin, Buzau, Anul 2006, Mii persoane, 94.5
Feminin, Buzau, Anul 2007, Mii persoane, 89.3
Feminin, Buzau, Anul 2008, Mii persoane, 89.6
Feminin, Buzau, Anul 2009, Mii persoane, 91.3
Feminin, Buzau, Anul 2010, Mii persoane, 90.2
Feminin, Buzau, Anul 2011, Mii persoane, 89.3
Feminin, Buzau, Anul 2012, Mii persoane, 92.9
Feminin, Buzau, Anul 2013, Mii persoane, 90.3
Feminin, Buzau, Anul 2014, Mii persoane, 89.1
Feminin, Buzau, Anul 2015, Mii persoane, 84.3
Feminin, Buzau, Anul 2016, Mii persoane, 78.2
Feminin, Buzau, Anul 2017, Mii persoane, 79.1
Feminin, Constanta, Anul 1990, Mii persoane, 134.2
Feminin, Constanta, Anul 1991, Mii persoane, 155.1
Feminin, Constanta, Anul 1992, Mii persoane, 157.8
Feminin, Constanta, Anul 1993, Mii persoane, 159.8
Feminin, Constanta, Anul 1994, Mii persoane, 166.9
Feminin, Constanta, Anul 1995, Mii persoane, 147.7
Feminin, Constanta, Anul 1996, Mii persoane, 138.7
Feminin, Constanta, Anul 1997, Mii persoane, 143.1
Feminin, Constanta, Anul 1998, Mii persoane, 139.8
Feminin, Constanta, Anul 1999, Mii persoane, 147.8
Feminin, Constanta, Anul 2000, Mii persoane, 142.5
Feminin, Constanta, Anul 2001, Mii persoane, 138.6
Feminin, Constanta, Anul 2002, Mii persoane, 138.8
Feminin, Constanta, Anul 2003, Mii persoane, 131.4
Feminin, Constanta, Anul 2004, Mii persoane, 133.4
Feminin, Constanta, Anul 2005, Mii persoane, 133.6
Feminin, Constanta, Anul 2006, Mii persoane, 130.8
Feminin, Constanta, Anul 2007, Mii persoane, 135.1
Feminin, Constanta, Anul 2008, Mii persoane, 134.8
Feminin, Constanta, Anul 2009, Mii persoane, 135.1
Feminin, Constanta, Anul 2010, Mii persoane, 137.9
Feminin, Constanta, Anul 2011, Mii persoane, 133.1
Feminin, Constanta, Anul 2012, Mii persoane, 139.1
Feminin, Constanta, Anul 2013, Mii persoane, 136.2
Feminin, Constanta, Anul 2014, Mii persoane, 136
Feminin, Constanta, Anul 2015, Mii persoane, 126.8
Feminin, Constanta, Anul 2016, Mii persoane, 122.2
Feminin, Constanta, Anul 2017, Mii persoane, 125.5
Feminin, Galati, Anul 1990, Mii persoane, 124.8
Feminin, Galati, Anul 1991, Mii persoane, 132.3
Feminin, Galati, Anul 1992, Mii persoane, 141.7
Feminin, Galati, Anul 1993, Mii persoane, 138.8
Feminin, Galati, Anul 1994, Mii persoane, 140.9
Feminin, Galati, Anul 1995, Mii persoane, 131.6
Feminin, Galati, Anul 1996, Mii persoane, 130.8
Feminin, Galati, Anul 1997, Mii persoane, 124.3
Feminin, Galati, Anul 1998, Mii persoane, 130
Feminin, Galati, Anul 1999, Mii persoane, 127.9
Feminin, Galati, Anul 2000, Mii persoane, 121.1
Feminin, Galati, Anul 2001, Mii persoane, 114.8
Feminin, Galati, Anul 2002, Mii persoane, 111.6
Feminin, Galati, Anul 2003, Mii persoane, 101.1
Feminin, Galati, Anul 2004, Mii persoane, 101.6
Feminin, Galati, Anul 2005, Mii persoane, 100.2
Feminin, Galati, Anul 2006, Mii persoane, 99.3
Feminin, Galati, Anul 2007, Mii persoane, 96.4
Feminin, Galati, Anul 2008, Mii persoane, 96.8
Feminin, Galati, Anul 2009, Mii persoane, 98.7
Feminin, Galati, Anul 2010, Mii persoane, 94.1
Feminin, Galati, Anul 2011, Mii persoane, 91.9
Feminin, Galati, Anul 2012, Mii persoane, 95.1
Feminin, Galati, Anul 2013, Mii persoane, 94.4
Feminin, Galati, Anul 2014, Mii persoane, 92.4
Feminin, Galati, Anul 2015, Mii persoane, 89.5
Feminin, Galati, Anul 2016, Mii persoane, 86.3
Feminin, Galati, Anul 2017, Mii persoane, 85.9
Feminin, Tulcea, Anul 1990, Mii persoane, 56.1
Feminin, Tulcea, Anul 1991, Mii persoane, 54.2
Feminin, Tulcea, Anul 1992, Mii persoane, 58.8
Feminin, Tulcea, Anul 1993, Mii persoane, 54.9
Feminin, Tulcea, Anul 1994, Mii persoane, 59.7
Feminin, Tulcea, Anul 1995, Mii persoane, 51.8
Feminin, Tulcea, Anul 1996, Mii persoane, 53.3
Feminin, Tulcea, Anul 1997, Mii persoane, 50.6
Feminin, Tulcea, Anul 1998, Mii persoane, 54.1
Feminin, Tulcea, Anul 1999, Mii persoane, 52
Feminin, Tulcea, Anul 2000, Mii persoane, 53.2
Feminin, Tulcea, Anul 2001, Mii persoane, 50.3
Feminin, Tulcea, Anul 2002, Mii persoane, 47.6
Feminin, Tulcea, Anul 2003, Mii persoane, 46.6
Feminin, Tulcea, Anul 2004, Mii persoane, 44.1
Feminin, Tulcea, Anul 2005, Mii persoane, 44.9
Feminin, Tulcea, Anul 2006, Mii persoane, 43.8
Feminin, Tulcea, Anul 2007, Mii persoane, 44.5
Feminin, Tulcea, Anul 2008, Mii persoane, 42.8
Feminin, Tulcea, Anul 2009, Mii persoane, 43.7
Feminin, Tulcea, Anul 2010, Mii persoane, 40.7
Feminin, Tulcea, Anul 2011, Mii persoane, 39.6
Feminin, Tulcea, Anul 2012, Mii persoane, 41.3
Feminin, Tulcea, Anul 2013, Mii persoane, 41.9
Feminin, Tulcea, Anul 2014, Mii persoane, 41.4
Feminin, Tulcea, Anul 2015, Mii persoane, 40.5
Feminin, Tulcea, Anul 2016, Mii persoane, 39.3
Feminin, Tulcea, Anul 2017, Mii persoane, 39.5
Feminin, Vrancea, Anul 1990, Mii persoane, 86
Feminin, Vrancea, Anul 1991, Mii persoane, 90.2
Feminin, Vrancea, Anul 1992, Mii persoane, 94.9
Feminin, Vrancea, Anul 1993, Mii persoane, 95.7
Feminin, Vrancea, Anul 1994, Mii persoane, 93.5
Feminin, Vrancea, Anul 1995, Mii persoane, 96.4
Feminin, Vrancea, Anul 1996, Mii persoane, 91.5
Feminin, Vrancea, Anul 1997, Mii persoane, 83
Feminin, Vrancea, Anul 1998, Mii persoane, 81.9
Feminin, Vrancea, Anul 1999, Mii persoane, 83.8
Feminin, Vrancea, Anul 2000, Mii persoane, 85.2
Feminin, Vrancea, Anul 2001, Mii persoane, 83.5
Feminin, Vrancea, Anul 2002, Mii persoane, 78.5
Feminin, Vrancea, Anul 2003, Mii persoane, 76.3
Feminin, Vrancea, Anul 2004, Mii persoane, 76.4
Feminin, Vrancea, Anul 2005, Mii persoane, 74.8
Feminin, Vrancea, Anul 2006, Mii persoane, 75
Feminin, Vrancea, Anul 2007, Mii persoane, 75.4
Feminin, Vrancea, Anul 2008, Mii persoane, 73.2
Feminin, Vrancea, Anul 2009, Mii persoane, 73.7
Feminin, Vrancea, Anul 2010, Mii persoane, 75.3
Feminin, Vrancea, Anul 2011, Mii persoane, 74.7
Feminin, Vrancea, Anul 2012, Mii persoane, 77
Feminin, Vrancea, Anul 2013, Mii persoane, 73.1
Feminin, Vrancea, Anul 2014, Mii persoane, 72.6
Feminin, Vrancea, Anul 2015, Mii persoane, 67.2
Feminin, Vrancea, Anul 2016, Mii persoane, 66.2
Feminin, Vrancea, Anul 2017, Mii persoane, 64.4
Feminin, MACROREGIUNEA TREI, Anul 1990, Mii persoane, 1296.8
Feminin, MACROREGIUNEA TREI, Anul 1991, Mii persoane, 1378.4
Feminin, MACROREGIUNEA TREI, Anul 1992, Mii persoane, 1424.2
Feminin, MACROREGIUNEA TREI, Anul 1993, Mii persoane, 1360
Feminin, MACROREGIUNEA TREI, Anul 1994, Mii persoane, 1346.9
Feminin, MACROREGIUNEA TREI, Anul 1995, Mii persoane, 1205
Feminin, MACROREGIUNEA TREI, Anul 1996, Mii persoane, 1145.5
Feminin, MACROREGIUNEA TREI, Anul 1997, Mii persoane, 1102.3
Feminin, MACROREGIUNEA TREI, Anul 1998, Mii persoane, 1135.5
Feminin, MACROREGIUNEA TREI, Anul 1999, Mii persoane, 1063.6
Feminin, MACROREGIUNEA TREI, Anul 2000, Mii persoane, 1100.2
Feminin, MACROREGIUNEA TREI, Anul 2001, Mii persoane, 1082.5
Feminin, MACROREGIUNEA TREI, Anul 2002, Mii persoane, 1074.1
Feminin, MACROREGIUNEA TREI, Anul 2003, Mii persoane, 1055.4
Feminin, MACROREGIUNEA TREI, Anul 2004, Mii persoane, 1062.8
Feminin, MACROREGIUNEA TREI, Anul 2005, Mii persoane, 1085.4
Feminin, MACROREGIUNEA TREI, Anul 2006, Mii persoane, 1127.5
Feminin, MACROREGIUNEA TREI, Anul 2007, Mii persoane, 1189.1
Feminin, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 1201.9
Feminin, MACROREGIUNEA TREI, Anul 2009, Mii persoane, 1198.4
Feminin, MACROREGIUNEA TREI, Anul 2010, Mii persoane, 1202
Feminin, MACROREGIUNEA TREI, Anul 2011, Mii persoane, 1195.8
Feminin, MACROREGIUNEA TREI, Anul 2012, Mii persoane, 1209.4
Feminin, MACROREGIUNEA TREI, Anul 2013, Mii persoane, 1218.8
Feminin, MACROREGIUNEA TREI, Anul 2014, Mii persoane, 1196.1
Feminin, MACROREGIUNEA TREI, Anul 2015, Mii persoane, 1177.9
Feminin, MACROREGIUNEA TREI, Anul 2016, Mii persoane, 1195.5
Feminin, MACROREGIUNEA TREI, Anul 2017, Mii persoane, 1192.5
Feminin, Regiunea SUD-MUNTENIA, Anul 1990, Mii persoane, 752.9
Feminin, Regiunea SUD-MUNTENIA, Anul 1991, Mii persoane, 787
Feminin, Regiunea SUD-MUNTENIA, Anul 1992, Mii persoane, 829.5
Feminin, Regiunea SUD-MUNTENIA, Anul 1993, Mii persoane, 822.3
Feminin, Regiunea SUD-MUNTENIA, Anul 1994, Mii persoane, 797.2
Feminin, Regiunea SUD-MUNTENIA, Anul 1995, Mii persoane, 722.8
Feminin, Regiunea SUD-MUNTENIA, Anul 1996, Mii persoane, 697.6
Feminin, Regiunea SUD-MUNTENIA, Anul 1997, Mii persoane, 685.1
Feminin, Regiunea SUD-MUNTENIA, Anul 1998, Mii persoane, 688.2
Feminin, Regiunea SUD-MUNTENIA, Anul 1999, Mii persoane, 685.7
Feminin, Regiunea SUD-MUNTENIA, Anul 2000, Mii persoane, 684.6
Feminin, Regiunea SUD-MUNTENIA, Anul 2001, Mii persoane, 660.8
Feminin, Regiunea SUD-MUNTENIA, Anul 2002, Mii persoane, 636.3
Feminin, Regiunea SUD-MUNTENIA, Anul 2003, Mii persoane, 621.4
Feminin, Regiunea SUD-MUNTENIA, Anul 2004, Mii persoane, 604.8
Feminin, Regiunea SUD-MUNTENIA, Anul 2005, Mii persoane, 601.3
Feminin, Regiunea SUD-MUNTENIA, Anul 2006, Mii persoane, 594.1
Feminin, Regiunea SUD-MUNTENIA, Anul 2007, Mii persoane, 598.4
Feminin, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 583.2
Feminin, Regiunea SUD-MUNTENIA, Anul 2009, Mii persoane, 600
Feminin, Regiunea SUD-MUNTENIA, Anul 2010, Mii persoane, 584
Feminin, Regiunea SUD-MUNTENIA, Anul 2011, Mii persoane, 581.1
Feminin, Regiunea SUD-MUNTENIA, Anul 2012, Mii persoane, 590.5
Feminin, Regiunea SUD-MUNTENIA, Anul 2013, Mii persoane, 583.1
Feminin, Regiunea SUD-MUNTENIA, Anul 2014, Mii persoane, 571.1
Feminin, Regiunea SUD-MUNTENIA, Anul 2015, Mii persoane, 549
Feminin, Regiunea SUD-MUNTENIA, Anul 2016, Mii persoane, 530.6
Feminin, Regiunea SUD-MUNTENIA, Anul 2017, Mii persoane, 521.5
Feminin, Arges, Anul 1990, Mii persoane, 169.2
Feminin, Arges, Anul 1991, Mii persoane, 171.8
Feminin, Arges, Anul 1992, Mii persoane, 180.3
Feminin, Arges, Anul 1993, Mii persoane, 177.3
Feminin, Arges, Anul 1994, Mii persoane, 163.2
Feminin, Arges, Anul 1995, Mii persoane, 146.4
Feminin, Arges, Anul 1996, Mii persoane, 145.4
Feminin, Arges, Anul 1997, Mii persoane, 137.9
Feminin, Arges, Anul 1998, Mii persoane, 145.5
Feminin, Arges, Anul 1999, Mii persoane, 144.8
Feminin, Arges, Anul 2000, Mii persoane, 146.5
Feminin, Arges, Anul 2001, Mii persoane, 139.4
Feminin, Arges, Anul 2002, Mii persoane, 134.9
Feminin, Arges, Anul 2003, Mii persoane, 127.1
Feminin, Arges, Anul 2004, Mii persoane, 125.8
Feminin, Arges, Anul 2005, Mii persoane, 124.4
Feminin, Arges, Anul 2006, Mii persoane, 127.2
Feminin, Arges, Anul 2007, Mii persoane, 129.6
Feminin, Arges, Anul 2008, Mii persoane, 126.9
Feminin, Arges, Anul 2009, Mii persoane, 127.4
Feminin, Arges, Anul 2010, Mii persoane, 123.2
Feminin, Arges, Anul 2011, Mii persoane, 122.8
Feminin, Arges, Anul 2012, Mii persoane, 126
Feminin, Arges, Anul 2013, Mii persoane, 124.5
Feminin, Arges, Anul 2014, Mii persoane, 121.9
Feminin, Arges, Anul 2015, Mii persoane, 121.6
Feminin, Arges, Anul 2016, Mii persoane, 120.3
Feminin, Arges, Anul 2017, Mii persoane, 120.7
Feminin, Calarasi, Anul 1990, Mii persoane, 64
Feminin, Calarasi, Anul 1991, Mii persoane, 66.2
Feminin, Calarasi, Anul 1992, Mii persoane, 69.8
Feminin, Calarasi, Anul 1993, Mii persoane, 67.3
Feminin, Calarasi, Anul 1994, Mii persoane, 66
Feminin, Calarasi, Anul 1995, Mii persoane, 63.2
Feminin, Calarasi, Anul 1996, Mii persoane, 57.5
Feminin, Calarasi, Anul 1997, Mii persoane, 59.2
Feminin, Calarasi, Anul 1998, Mii persoane, 62.6
Feminin, Calarasi, Anul 1999, Mii persoane, 60.1
Feminin, Calarasi, Anul 2000, Mii persoane, 60.4
Feminin, Calarasi, Anul 2001, Mii persoane, 57.5
Feminin, Calarasi, Anul 2002, Mii persoane, 54.3
Feminin, Calarasi, Anul 2003, Mii persoane, 55.3
Feminin, Calarasi, Anul 2004, Mii persoane, 54.9
Feminin, Calarasi, Anul 2005, Mii persoane, 54.7
Feminin, Calarasi, Anul 2006, Mii persoane, 54.2
Feminin, Calarasi, Anul 2007, Mii persoane, 52.6
Feminin, Calarasi, Anul 2008, Mii persoane, 53.3
Feminin, Calarasi, Anul 2009, Mii persoane, 53.9
Feminin, Calarasi, Anul 2010, Mii persoane, 53.6
Feminin, Calarasi, Anul 2011, Mii persoane, 53.4
Feminin, Calarasi, Anul 2012, Mii persoane, 54.6
Feminin, Calarasi, Anul 2013, Mii persoane, 54
Feminin, Calarasi, Anul 2014, Mii persoane, 52.3
Feminin, Calarasi, Anul 2015, Mii persoane, 48.3
Feminin, Calarasi, Anul 2016, Mii persoane, 45.1
Feminin, Calarasi, Anul 2017, Mii persoane, 42.6
Feminin, Dambovita, Anul 1990, Mii persoane, 124.6
Feminin, Dambovita, Anul 1991, Mii persoane, 136.8
Feminin, Dambovita, Anul 1992, Mii persoane, 137.5
Feminin, Dambovita, Anul 1993, Mii persoane, 129.1
Feminin, Dambovita, Anul 1994, Mii persoane, 132.1
Feminin, Dambovita, Anul 1995, Mii persoane, 107.1
Feminin, Dambovita, Anul 1996, Mii persoane, 111.5
Feminin, Dambovita, Anul 1997, Mii persoane, 112.6
Feminin, Dambovita, Anul 1998, Mii persoane, 110.7
Feminin, Dambovita, Anul 1999, Mii persoane, 111.1
Feminin, Dambovita, Anul 2000, Mii persoane, 109.7
Feminin, Dambovita, Anul 2001, Mii persoane, 107.3
Feminin, Dambovita, Anul 2002, Mii persoane, 104.7
Feminin, Dambovita, Anul 2003, Mii persoane, 99.2
Feminin, Dambovita, Anul 2004, Mii persoane, 99.1
Feminin, Dambovita, Anul 2005, Mii persoane, 99.8
Feminin, Dambovita, Anul 2006, Mii persoane, 95.2
Feminin, Dambovita, Anul 2007, Mii persoane, 96.2
Feminin, Dambovita, Anul 2008, Mii persoane, 92
Feminin, Dambovita, Anul 2009, Mii persoane, 94.9
Feminin, Dambovita, Anul 2010, Mii persoane, 92.6
Feminin, Dambovita, Anul 2011, Mii persoane, 91.5
Feminin, Dambovita, Anul 2012, Mii persoane, 92.2
Feminin, Dambovita, Anul 2013, Mii persoane, 91.4
Feminin, Dambovita, Anul 2014, Mii persoane, 90.6
Feminin, Dambovita, Anul 2015, Mii persoane, 86.1
Feminin, Dambovita, Anul 2016, Mii persoane, 80.2
Feminin, Dambovita, Anul 2017, Mii persoane, 80
Feminin, Giurgiu, Anul 1990, Mii persoane, 56.9
Feminin, Giurgiu, Anul 1991, Mii persoane, 59.6
Feminin, Giurgiu, Anul 1992, Mii persoane, 62.8
Feminin, Giurgiu, Anul 1993, Mii persoane, 65.1
Feminin, Giurgiu, Anul 1994, Mii persoane, 61.1
Feminin, Giurgiu, Anul 1995, Mii persoane, 53.3
Feminin, Giurgiu, Anul 1996, Mii persoane, 51.5
Feminin, Giurgiu, Anul 1997, Mii persoane, 51.2
Feminin, Giurgiu, Anul 1998, Mii persoane, 51.8
Feminin, Giurgiu, Anul 1999, Mii persoane, 52.3
Feminin, Giurgiu, Anul 2000, Mii persoane, 54.3
Feminin, Giurgiu, Anul 2001, Mii persoane, 52.5
Feminin, Giurgiu, Anul 2002, Mii persoane, 49.5
Feminin, Giurgiu, Anul 2003, Mii persoane, 47.7
Feminin, Giurgiu, Anul 2004, Mii persoane, 46.5
Feminin, Giurgiu, Anul 2005, Mii persoane, 46.1
Feminin, Giurgiu, Anul 2006, Mii persoane, 44.3
Feminin, Giurgiu, Anul 2007, Mii persoane, 44.8
Feminin, Giurgiu, Anul 2008, Mii persoane, 43.8
Feminin, Giurgiu, Anul 2009, Mii persoane, 45.7
Feminin, Giurgiu, Anul 2010, Mii persoane, 45.3
Feminin, Giurgiu, Anul 2011, Mii persoane, 45.5
Feminin, Giurgiu, Anul 2012, Mii persoane, 47.2
Feminin, Giurgiu, Anul 2013, Mii persoane, 45
Feminin, Giurgiu, Anul 2014, Mii persoane, 44.7
Feminin, Giurgiu, Anul 2015, Mii persoane, 41.9
Feminin, Giurgiu, Anul 2016, Mii persoane, 38.1
Feminin, Giurgiu, Anul 2017, Mii persoane, 37.4
Feminin, Ialomita, Anul 1990, Mii persoane, 58.7
Feminin, Ialomita, Anul 1991, Mii persoane, 62.3
Feminin, Ialomita, Anul 1992, Mii persoane, 66
Feminin, Ialomita, Anul 1993, Mii persoane, 67.9
Feminin, Ialomita, Anul 1994, Mii persoane, 64.8
Feminin, Ialomita, Anul 1995, Mii persoane, 59.3
Feminin, Ialomita, Anul 1996, Mii persoane, 58.9
Feminin, Ialomita, Anul 1997, Mii persoane, 59.9
Feminin, Ialomita, Anul 1998, Mii persoane, 56.2
Feminin, Ialomita, Anul 1999, Mii persoane, 58.4
Feminin, Ialomita, Anul 2000, Mii persoane, 56.2
Feminin, Ialomita, Anul 2001, Mii persoane, 56.4
Feminin, Ialomita, Anul 2002, Mii persoane, 54.2
Feminin, Ialomita, Anul 2003, Mii persoane, 53.8
Feminin, Ialomita, Anul 2004, Mii persoane, 53.5
Feminin, Ialomita, Anul 2005, Mii persoane, 52.9
